label,jsonl_data
Production Process,"{'data': 'Product | Production | rutile pigment produced by the chloride process <label>', 'label': []}"
Particle size,"{'data': 'Median Particle Size, um | 0.50 <header> <Property> | <R - 960 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
pH,"{'data': 'pH Value of aqueous suspension | 6.5 - 8.5', 'label': [[12, 30, 'measuring_condition'], [33, 36, 'min'], [39, 42, 'max']]}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Property> | <R - 902 +> </header>', 'label': [[19, 22, 'mean']]}"
TiO2 content,"{'data': 'Typical Properties: | • TiO 2 content: | ≥ 93,5 %', 'label': [[43, 47, 'min'], [48, 49, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content | 94 % minimum', 'label': [[16, 18, 'min'], [19, 20, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content % . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 93', 'label': [[14, 15, 'unit'], [138, 140, 'mean']]}"
pH,"{'data': 'PH | 6.0 - 8.5 | 6.0 - 8.5', 'label': [[5, 8, 'unclear_value'], [11, 14, 'unclear_value'], [17, 20, 'unclear_value'], [23, 26, 'unclear_value']]}"
TiO2 content,"{'data': 'TiO 2 content | 93 % | XRF <header> <PARAMETER> | <VALUE> | <TEST METHOD> </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit'], [23, 26, 'method']]}"
Production Process,"{'data': 'CHLORIDE PROCESS | RECOMMENDED APPLICATIONS <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption | 15.2 <header> <Property> | <R - 900 > </header>', 'label': [[17, 21, 'mean']]}"
Density,"{'data': 'Specific gravity | 4.1 g/cm 3 | ISO 787 - 10 <header> <TYPICAL PROPERTIES> <PARAMETER> | <TYPICAL PROPERTIES> <VALUE> | <TYPICAL PROPERTIES> <TEST METHOD> </header>', 'label': [[19, 22, 'mean'], [23, 29, 'unit'], [32, 44, 'method']]}"
Density,"{'data': '• Specific gravity: | 4.1', 'label': [[22, 25, 'mean']]}"
Inorganic surface treatment,"{'data': 'AL ( Sample - standardª ) | ≥ - 0.3', 'label': [[5, 23, 'measuring_condition'], [30, 35, 'min']]}"
Density,"{'data': 'Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] | 1.1', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 27, 'unclear_value'], [32, 38, 'unit'], [43, 46, 'mean']]}"
Density,"{'data': '27 SPECIFIC GRAVITY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 27 SPECIFIC GRAVITY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 27 SPECIFIC GRAVITY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 27 SPECIFIC GRAVITY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | 27 SPECIFIC GRAVITY . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . 4.0 <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': [[736, 739, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | ≥ 94.0 %', 'label': [[16, 19, 'measuring_condition'], [26, 30, 'min'], [31, 32, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, % | Sep SH 91.00 <header> <TiO 2, % > | <Sep SH 91.00 > </header>', 'label': [[7, 8, 'unit'], [18, 23, 'mean']]}"
Density,"{'data': 'Bulk density, kg/m 3 | 800', 'label': [[0, 4, 'measuring_condition'], [14, 20, 'unit'], [23, 26, 'mean']]}"
TiO2 content,"{'data': 'Purity ( TiO 2 ) | > 93.0 %', 'label': [[21, 25, 'min'], [26, 27, 'unit']]}"
Particle size,"{'data': 'Average particle size 2 ( μm ) . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . 0.19', 'label': [[0, 7, 'measuring_condition'], [26, 28, 'unit'], [132, 136, 'mean']]}"
Production Process,"{'data': 'manufactured by the chloride process, delivering | TS - 6300 <label>', 'label': []}"
Production Process,"{'data': 'Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header> <label>', 'label': []}"
pH,"{'data': 'pH | 8.2 <header> <Property> | <R - 706 > </header>', 'label': [[5, 8, 'mean']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % , max. | 3.2', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [23, 26, 'max']]}"
Oil Absorption,"{'data': 'Oil absorption ( 2 ) [ cm 3 /g pigment ] Durability | Oil absorption ( 2 ) [ cm 3 /g pigment ] Durability | Highly durable', 'label': [[23, 30, 'unit'], [77, 84, 'unit']]}"
Production Process,"{'data': 'Production Process. | Rutile Titanium dioxide pigment produced by sulfate process <label>', 'label': []}"
Production Process,"{'data': 'Description: | 128 is an alumina/zirconia modified chloride - process rutile titanium <label>', 'label': []}"
multi,"{'data': 'Product Characteristics | Surface treatment aluminium and zirconium compounds TiO 2 content, % ≥ 91', 'label': []}"
Particle size,"{'data': 'Median Particle Size, µm | 0.50 <header> <Property> | <R - 960 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
Particle size,"{'data': 'Median Particle Diameter, ( µm ) | 0.7 <header> <Color> | <Light Beige> </header>', 'label': [[0, 6, 'measuring_condition'], [28, 30, 'unit'], [35, 38, 'mean']]}"
header,"{'data': 'TYPICAL PROPERTIES | TYPICAL PROPERTIES | TYPICAL PROPERTIES <header> <TYPICAL PROPERTIES> <PARAMETER> | <TYPICAL PROPERTIES> <VALUE> | <TYPICAL PROPERTIES> <TEST METHOD> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption , g/ 100 g | 23 <header> <Characteristic> | <Requirements> </header>', 'label': [[17, 25, 'unit'], [28, 30, 'mean']]}"
Inorganic surface treatment,"{'data': 'Surface treatment | aluminium, silicon and zirconium compounds', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) max | 22', 'label': [[17, 25, 'unit'], [34, 36, 'max']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | 3.0 <header> <Property> | <R - 706 > </header>', 'label': [[0, 9, 'measuring_condition'], [18, 20, 'measuring_condition'], [21, 22, 'unit'], [25, 28, 'mean']]}"
pH,"{'data': 'pH | 8.1 <header> <Property> | <R - 900 > </header>', 'label': [[5, 8, 'mean']]}"
Particle size,"{'data': 'particle size average | 0.26 - 0.30 | | 0,26 <header> <> <Item> <Item> | <> <Standard> <> | <> <Standard> <> | <> <Result> <> </header>', 'label': [[14, 21, 'measuring_condition'], [24, 28, 'min'], [31, 35, 'max']]}"
Density,"{'data': ' | • Specific gravity: | 4.0', 'label': [[25, 28, 'mean']]}"
stray,"{'data': 'BULK . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | BULK . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | BULK . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | BULK . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | BULK . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . 0.8 kg/l or 50 lbs/cu.ft. <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': [[0, 4, 'measuring_condition'], [149, 153, 'measuring_condition'], [298, 302, 'measuring_condition'], [447, 451, 'measuring_condition'], [596, 600, 'measuring_condition'], [749, 752, 'mean'], [761, 763, 'mean'], [753, 757, 'unit'], [764, 773, 'unit']]}"
header,"{'data': 'Component | CAS # | Weight % ( approx. ) | Weight % ( approx. ) <header> <Component> | <CAS #> | <Weight % ( approx. ) > | <Weight % ( approx. ) > </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 content | 94 %', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': '金红石含量 | Rutile content | % ≥ 97.0 <header> <典型数据> | <Property> | <SR - 2377 > </header>', 'label': [[25, 26, 'unit'], [29, 33, 'min']]}"
Density,"{'data': 'Specific Gravity | 3.6 <header> <Property> | <R - 931 > </header>', 'label': [[19, 22, 'mean']]}"
TiO2 content,"{'data': 'TiO 2, % | 95.00 <header> <> | <F> </header>', 'label': [[11, 16, 'mean'], [7, 8, 'unit']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) | 19.0', 'label': [[17, 25, 'unit'], [30, 34, 'mean']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile content, % | 98', 'label': [[20, 22, 'mean'], [16, 17, 'unit']]}"
pH,"{'data': 'PH | 6.5 - 8.0', 'label': [[5, 8, 'min'], [11, 14, 'max']]}"
Inorganic surface treatment,"{'data': 'Alumina, wt % | 3.3 <header> <Property> | <R - 960 > </header>', 'label': [[9, 11, 'measuring_condition'], [12, 13, 'unit'], [16, 19, 'mean']]}"
Inorganic surface treatment,"{'data': 'ZrO 2, % | 0.50 | DIN 51418 <header> <Property> | <Typical Value> | <Method> </header>', 'label': [[7, 8, 'unit'], [11, 15, 'mean'], [18, 27, 'method']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile | Rutile | Rutile | 98.0 %', 'label': [[27, 31, 'mean'], [32, 33, 'unit']]}"
header,"{'data': 'TYPICAL PROPERTIES | TYPICAL PROPERTIES | TYPICAL PROPERTIES <header> <TYPICAL PROPERTIES> <PARAMETER> | <TYPICAL PROPERTIES> <VALUE> | <TYPICAL PROPERTIES> <TEST METHOD> </header>', 'label': []}"
Density,"{'data': 'Specific gravity: | 4.1', 'label': [[20, 23, 'mean']]}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 35 g/ 100 g', 'label': []}"
TiO2 content,"{'data': 'TiO 2 content ( ISO 591 - 1 ) | ≥ 92 %', 'label': [[16, 27, 'method'], [34, 36, 'min'], [37, 38, 'unit']]}"
Particle size,"{'data': 'Particle size* Disc Centrifuge – mean diameter ( Dn ) : | 0.22 µm', 'label': [[15, 53, 'measuring_condition'], [58, 62, 'mean'], [63, 65, 'unit']]}"
Production Process,"{'data': 'Description: | Tiona RCL - 9 is a versatile multipurpose chloride - process rutile titanium dioxide <label>', 'label': []}"
Inorganic surface treatment,"{'data': 'SiO 2 | 2.0 – 4.0 %', 'label': [[8, 11, 'min'], [14, 17, 'max'], [18, 19, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 含量 % ( m/m ) ≥ | 90 | 90 | 92,42 <header> <产品牌号 R 838 > <产品批号 C 101208 > <检验项目> <检验项目> | <> <> <技术指标> <一等品> | <数 量 检验日期> <> <技术指标> <合格品> | < 800 * 25 kg> < 2010.11.30 > <检验结果> <合格品> </header>', 'label': [[13, 16, 'measuring_condition'], [9, 10, 'unit'], [23, 25, 'min'], [28, 30, 'min'], [33, 38, 'min']]}"
Oil Absorption,"{'data': '• | Oil absorption: | 21 g/ 100 g', 'label': [[22, 24, 'mean'], [25, 33, 'unit']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica | yes <header> <Property> | <R - 902 +> </header>', 'label': []}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Property> | <R - 902 +> </header>', 'label': [[19, 22, 'mean']]}"
Oil Absorption,"{'data': 'Properties: | • Oil absorption: 35 g/ 100 g | 2 nd Floor', 'label': [[32, 34, 'mean'], [35, 43, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content % | Typical Properties 1 93', 'label': [[14, 15, 'unit'], [37, 41, 'unclear_value']]}"
pH,"{'data': 'pH | 7.2 <header> <Property> | <R - 960 > </header>', 'label': [[5, 8, 'mean']]}"
"Crystal (rutile %, anatase %)","{'data': 'Main Modifiers | Main Modifiers | Al 2 O 3, ZrO 2 | Al 2 O 3, ZrO 2 | Al 2 O 3, ZrO 2 <header> <ITEM> | <ITEM> | <MT - 100 HD> | <MT - 500 HD> | <MT - 700 HD> </header>', 'label': []}"
Particle size,"{'data': 'AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 | AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 | AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 | AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 | AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 | AVERAGE PARTICLE SIZE 2, ( µm ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.23 <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': [[0, 7, 'measuring_condition'], [181, 188, 'measuring_condition'], [362, 369, 'measuring_condition'], [543, 550, 'measuring_condition'], [724, 731, 'measuring_condition'], [905, 912, 'measuring_condition'], [27, 29, 'unit'], [208, 210, 'unit'], [389, 391, 'unit'], [570, 572, 'unit'], [751, 753, 'unit'], [932, 934, 'unit'], [1079, 1083, 'mean'], [898, 902, 'mean'], [717, 721, 'mean'], [536, 540, 'mean'], [355, 359, 'mean'], [174, 178, 'mean']]}"
Inorganic surface treatment,"{'data': 'Al 2 O 3, % | 0.40', 'label': [[10, 11, 'unit'], [14, 18, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | 94.0 %', 'label': [[16, 19, 'measuring_condition'], [24, 28, 'mean'], [29, 30, 'unit']]}"
Inorganic surface treatment,"{'data': 'Al 2 O 3, % | 0.40 <header> <> | <STD> </header>', 'label': [[10, 11, 'unit'], [14, 18, 'mean']]}"
Density,"{'data': 'Specific gravity ( g/cm 3 ) | 4.1', 'label': [[19, 25, 'unit'], [30, 33, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption ( 3 ) | 16 cm 3 / 100 g pigment | 16 cm 3 / 100 g pigment <header> <TiO 2 content> | < 93 % > | < 93 % > </header>', 'label': [[26, 38, 'unit'], [52, 64, 'unit'], [23, 25, 'mean'], [49, 51, 'mean'], [17, 18, 'unclear_value'], [39, 46, 'measuring_condition'], [65, 72, 'measuring_condition']]}"
Oil Absorption,"{'data': '9 | Oil absorption | EN ISO 787 - 5 | g/ 100 g pig. | 19.0 ÷ 23.0 <header> <No.> | <Determined parameter> | <Test Method> | <Unit> | <Requirements> </header>', 'label': [[0, 1, 'unclear_value'], [21, 35, 'method'], [38, 46, 'unit'], [47, 51, 'measuring_condition'], [54, 58, 'min'], [61, 65, 'max']]}"
Inorganic surface treatment,"{'data': 'Zirconium in terms of ZrO 2 | 0,4 %', 'label': [[30, 33, 'mean'], [34, 35, 'unit']]}"
Density,"{'data': 'Specific Gravity | 4.0 <header> <Property> | <R - 706 > </header>', 'label': [[19, 22, 'mean']]}"
multi,"{'data': 'treatment: Oil absorption: | Alumina, silica, organic 21 g/ 100 g', 'label': []}"
pH,"{'data': 'pH ( aqueous slurry ) | 7,2 <header> <> <Characteristics> | <> <Actual values Superior quality> </header>', 'label': [[5, 19, 'measuring_condition'], [24, 27, 'mean']]}"
